year,avg_temp
1743,5.49
1744,11.06
1745,2.30
1746,
1747,
1748,
1749,
1750,10.19
1751,10.53
1752,4.97
1753,9.44
1754,9.24
1755,9.02
1756,9.74
1757,9.38
1758,8.59
1759,9.62
1760,9.55
1761,9.81
1762,9.44
1763,9.05
1764,9.71
1765,9.47
1766,9.30
1767,8.75
1768,8.36
1769,9.24
1770,9.21
1771,8.99
1772,10.74
1773,9.60
1774,9.44
1775,9.95
1776,8.93
1777,9.10
1778,10.24
1779,10.33
1780,9.47
1781,10.19
1782,9.00
1783,9.95
1784,8.80
1785,8.44
1786,8.65
1787,9.65
1788,9.59
1789,9.35
1790,9.78
1791,10.08
1792,9.52
1793,9.54
1794,10.33
1795,9.32
1796,9.61
1797,10.58
1798,9.86
1799,8.44
1800,9.89
1801,10.32
1802,10.18
1803,8.92
1804,9.40
1805,8.01
1806,9.95
1807,9.97
1808,8.32
1809,9.21
1810,9.63
1811,10.38
1812,8.51
1813,8.87
1814,8.45
1815,8.86
1816,8.19
1817,9.24
1818,9.50
1819,9.65
1820,9.21
1821,9.28
1822,10.62
1823,9.12
1824,9.73
1825,9.66
1826,9.50
1827,9.44
1828,9.51
1829,8.00
1830,9.11
1831,9.50
1832,8.93
1833,9.17
1834,10.50
1835,8.75
1836,9.31
1837,8.46
1838,8.27
1839,9.35
1840,8.50
1841,10.15
1842,8.89
1843,9.39
1844,8.95
1845,8.98
1846,10.45
1847,8.85
1848,9.48
1849,9.07
1850,8.64
1851,8.72
1852,9.50
1853,8.99
1854,8.98
1855,8.74
1856,9.12
1857,9.33
1858,8.48
1859,9.76
1860,8.51
1861,9.53
1862,9.90
1863,10.53
1864,8.01
1865,9.55
1866,9.71
1867,9.57
1868,10.25
1869,9.59
1870,8.38
1871,8.22
1872,10.37
1873,9.76
1874,8.95
1875,8.45
1876,9.13
1877,9.39
1878,9.20
1879,8.62
1880,9.48
1881,8.80
1882,9.90
1883,8.85
1884,9.21
1885,9.55
1886,9.55
1887,8.76
1888,8.47
1889,8.67
1890,8.79
1891,8.63
1892,9.04
1893,8.85
1894,9.32
1895,8.81
1896,8.76
1897,9.43
1898,10.11
1899,9.41
1900,9.97
1901,8.86
1902,8.94
1903,9.48
1904,9.89
1905,9.04
1906,9.11
1907,9.19
1908,8.64
1909,8.87
1910,9.58
1911,9.83
1912,8.89
1913,9.29
1914,8.78
1915,9.22
1916,10.14
1917,9.02
1918,9.44
1919,8.85
1920,10.10
1921,9.94
1922,8.97
1923,9.91
1924,9.09
1925,9.43
1926,10.11
1927,10.04
1928,9.89
1929,8.85
1930,10.24
1931,9.18
1932,9.29
1933,8.66
1934,10.51
1935,9.46
1936,10.02
1937,9.84
1938,9.51
1939,9.69
1940,8.00
1941,8.54
1942,9.05
1943,10.16
1944,9.26
1945,10.03
1946,10.23
1947,10.01
1948,9.96
1949,10.11
1950,10.48
1951,10.52
1952,9.77
1953,9.78
1954,8.92
1955,9.28
1956,8.52
1957,9.81
1958,10.04
1959,9.93
1960,9.90
1961,10.33
1962,8.72
1963,9.11
1964,9.31
1965,8.99
1966,10.08
1967,9.96
1968,9.61
1969,9.23
1970,9.38
1971,9.48
1972,9.50
1973,9.36
1974,9.98
1975,10.21
1976,9.33
1977,10.12
1978,8.86
1979,9.80
1980,8.86
1981,9.68
1982,10.11
1983,10.17
1984,9.31
1985,9.27
1986,9.46
1987,9.55
1988,10.23
1989,10.37
1990,10.56
1991,9.58
1992,10.78
1993,10.19
1994,11.33
1995,10.14
1996,9.24
1997,10.18
1998,10.42
1999,10.51
2000,11.45
2001,10.74
2002,11.18
2003,10.83
2004,10.06
2005,9.62
2006,10.56
2007,11.31
2008,11.09
2009,11.06
2010,10.00
2011,11.02
2012,11.12
2013,11.58
