year,avg_temp
1796,25.43
1797,26.58
1798,24.63
1799,25.71
1800,25.69
1801,24.52
1802,26.19
1803,25.95
1804,26.32
1805,25.81
1806,25.70
1807,25.00
1808,
1809,
1810,
1811,
1812,
1813,25.05
1814,24.23
1815,24.59
1816,24.22
1817,24.39
1818,24.66
1819,24.45
1820,24.62
1821,25.30
1822,25.36
1823,25.32
1824,25.85
1825,25.56
1826,25.65
1827,25.69
1828,25.41
1829,25.24
1830,25.40
1831,25.07
1832,25.25
1833,25.33
1834,25.31
1835,24.45
1836,25.04
1837,25.01
1838,25.04
1839,25.09
1840,25.26
1841,25.01
1842,25.17
1843,25.00
1844,24.84
1845,25.14
1846,25.58
1847,25.09
1848,25.06
1849,25.00
1850,25.32
1851,25.25
1852,25.16
1853,25.47
1854,25.57
1855,25.57
1856,25.07
1857,24.70
1858,25.36
1859,25.43
1860,25.19
1861,25.08
1862,21.10
1863,
1864,
1865,25.61
1866,25.67
1867,25.67
1868,25.46
1869,25.54
1870,25.29
1871,25.40
1872,25.38
1873,25.46
1874,25.40
1875,25.53
1876,25.60
1877,25.68
1878,26.26
1879,25.07
1880,25.67
1881,25.20
1882,25.33
1883,25.07
1884,24.82
1885,25.14
1886,25.50
1887,25.14
1888,25.58
1889,25.85
1890,25.66
1891,25.32
1892,25.92
1893,24.42
1894,25.55
1895,25.70
1896,26.59
1897,26.42
1898,25.85
1899,26.38
1900,26.56
1901,25.78
1902,26.43
1903,25.58
1904,25.53
1905,25.37
1906,25.60
1907,25.38
1908,25.40
1909,25.45
1910,25.26
1911,25.72
1912,25.96
1913,25.64
1914,25.66
1915,26.01
1916,25.52
1917,24.51
1918,25.58
1919,25.46
1920,25.86
1921,26.16
1922,25.65
1923,25.81
1924,26.02
1925,25.37
1926,25.54
1927,25.60
1928,25.93
1929,25.70
1930,25.69
1931,26.15
1932,25.84
1933,25.31
1934,25.45
1935,25.56
1936,25.60
1937,25.29
1938,25.58
1939,25.73
1940,25.63
1941,26.54
1942,25.93
1943,25.41
1944,25.51
1945,25.34
1946,25.83
1947,25.94
1948,26.01
1949,25.83
1950,25.58
1951,26.00
1952,26.38
1953,26.55
1954,26.02
1955,25.69
1956,25.69
1957,25.93
1958,26.53
1959,26.08
1960,25.93
1961,25.53
1962,25.53
1963,25.63
1964,26.04
1965,25.97
1966,26.46
1967,26.07
1968,25.50
1969,26.44
1970,25.77
1971,25.18
1972,26.13
1973,26.29
1974,25.98
1975,25.60
1976,26.17
1977,26.23
1978,25.72
1979,26.42
1980,26.54
1981,25.94
1982,26.09
1983,25.72
1984,25.90
1985,26.18
1986,26.19
1987,26.31
1988,26.47
1989,25.95
1990,25.68
1991,26.20
1992,26.32
1993,26.07
1994,25.75
1995,26.04
1996,26.46
1997,25.75
1998,26.40
1999,26.06
2000,26.18
2001,26.32
2002,26.75
2003,26.50
2004,26.41
2005,26.23
2006,26.37
2007,26.39
2008,26.19
2009,27.14
2010,26.93
2011,26.00
2012,26.33
2013,27.11
